0,580,570,549
0.001,880.086254,890.086254,912.086254
0.002,1133.201184,1162.201184,1129.201184
0.003,1293.846437,1280.846437,1329.846437
0.004,1378.192205,1345.192205,1289.192205
0.005,1418.102111,1375.102111,1348.102111
0.006,1436.055012,1380.055012,1355.055012
0.007,1443.305012,1510.305012,1563.305012
0.008,1450.555012,1479.555012,1532.555012
0.009,1457.805012,1448.805012,1457.805012
0.01,1465.055012,1433.055012,1422.055012
0.011,1472.305012,1473.305012,1536.305012
0.012,1479.555012,1510.555012,1439.555012
0.013,1486.805012,1529.805012,1490.805012
0.014,1494.055012,1431.055012,1501.055012
0.015,1501.305012,1542.305012,1589.305012
0.016,1508.555012,1538.555012,1588.555012
0.017,1515.805012,1474.805012,1461.805012
0.018,1523.055012,1456.055012,1527.055012
0.019,1530.305012,1500.305012,1460.305012
0.02,1537.555012,1588.555012,1553.555012
