0.000000000000000000e+00, 5.975000000000000000e+03
1.000000000000000000e+00, 1.110300000000000000e+04
2.000000000000000000e+00, 2.057825000000000000e+04
3.000000000000000000e+00, 3.775650000000000000e+04
4.000000000000000000e+00, 6.763075000000000000e+04
5.000000000000000000e+00, 1.156732500000000000e+05
6.000000000000000000e+00, 1.839470000000000000e+05
7.000000000000000000e+00, 2.668585000000000000e+05
8.000000000000000000e+00, 3.525037500000000000e+05
9.000000000000000000e+00, 4.288047500000000000e+05
1.000000000000000000e+01, 4.884062500000000000e+05
1.100000000000000000e+01, 5.300797500000000000e+05
1.200000000000000000e+01, 5.568595000000000000e+05
1.300000000000000000e+01, 5.731012500000000000e+05
1.400000000000000000e+01, 5.825975000000000000e+05
1.500000000000000000e+01, 5.880300000000000000e+05
1.600000000000000000e+01, 5.910992500000000000e+05
1.700000000000000000e+01, 5.928217500000000000e+05
1.800000000000000000e+01, 5.937845000000000000e+05
1.900000000000000000e+01, 5.943220000000000000e+05
2.000000000000000000e+01, 5.946217500000000000e+05
2.100000000000000000e+01, 5.947887500000000000e+05
2.200000000000000000e+01, 5.948822500000000000e+05
2.300000000000000000e+01, 5.949337500000000000e+05
2.400000000000000000e+01, 5.949627500000000000e+05
